id,firstName,lastName,mainPhone,mobilePhone,email,createdAt,updatedAt,deletedAt
632d0999-c1ce-402a-bdb3-a94ea27fefc7,Customer35,Lastname35,555-5422,555-4598,customer35@example.com,2024-09-26 12:43:08.808515,2024-09-26 12:43:08.808516,
538c358f-9488-4196-ad5e-2f8ce23c0962,Customer36,Lastname36,555-6313,555-1916,customer36@example.com,2024-09-26 12:43:08.808529,2024-09-26 12:43:08.808530,
509a5d04-a3c4-47f1-b10a-4aa47e66bdc4,Customer37,Lastname37,555-4752,555-1525,customer37@example.com,2024-09-26 12:43:08.808542,2024-09-26 12:43:08.808543,
83670747-d6bc-4614-914d-25befd8de0a9,Customer38,Lastname38,555-6168,555-7572,customer38@example.com,2024-09-26 12:43:08.808556,2024-09-26 12:43:08.808557,
13c6303d-95ea-4fc5-bbe8-854c9b4483ec,Customer39,Lastname39,555-5386,555-2084,customer39@example.com,2024-09-26 12:43:08.808569,2024-09-26 12:43:08.808570,
414de78a-7ae0-4152-81e0-007f854547e0,Customer40,Lastname40,555-4456,555-6155,customer40@example.com,2024-09-26 12:43:08.808582,2024-09-26 12:43:08.808583,
265d158b-0b1d-4fbd-85f9-7a356bc9c992,Customer41,Lastname41,555-4483,555-9179,customer41@example.com,2024-09-26 12:43:08.808601,2024-09-26 12:43:08.808602,
dd543f4d-3364-4774-bfe6-b7836517830a,Customer42,Lastname42,555-7482,555-8517,customer42@example.com,2024-09-26 12:43:08.808615,2024-09-26 12:43:08.808616,
3d09ec27-8d40-49a7-84c0-0a3a21c6fb27,Customer43,Lastname43,555-3340,555-5339,customer43@example.com,2024-09-26 12:43:08.808627,2024-09-26 12:43:08.808628,
1d93db97-b6dd-4f7f-8ad7-59cacc5eead9,Customer44,Lastname44,555-3287,555-5040,customer44@example.com,2024-09-26 12:43:08.808640,2024-09-26 12:43:08.808641,
d5b678c6-4490-4bcc-83c8-a6b2f728e1e0,Customer45,Lastname45,555-9830,555-5304,customer45@example.com,2024-09-26 12:43:08.808653,2024-09-26 12:43:08.808654,
83576af7-115a-4ceb-9fc5-eb7239f46fbf,Customer46,Lastname46,555-8019,555-7543,customer46@example.com,2024-09-26 12:43:08.808666,2024-09-26 12:43:08.808667,
486abcfb-6dc4-426d-b5d4-205cbb7c98e6,Customer47,Lastname47,555-6930,555-4593,customer47@example.com,2024-09-26 12:43:08.808679,2024-09-26 12:43:08.808679,
a9e7708f-52b6-44f7-b600-44e21cb3d0e8,Customer48,Lastname48,555-3266,555-9348,customer48@example.com,2024-09-26 12:43:08.808694,2024-09-26 12:43:08.808694,
0c287eb8-f404-4f01-a418-698e15c76619,Customer49,Lastname49,555-9085,555-2489,customer49@example.com,2024-09-26 12:43:08.808708,2024-09-26 12:43:08.808709,
